MovieID,Title,Genre,Director,Release Date,Production Budget,Worldwide Gross,UserRating,UserVotes
1,Optional grid-enabled application,Comedy,Bruce Alexander,2006-09-09,34340314,786872517,2.8,335
2,Polarized tangible open architecture,Drama,Lauren Fleming,2008-03-07,134345545,520603593,3.1,3261
3,Ergonomic multi-state architecture,Drama,Mark Sanchez,2000-06-14,118514344,33307697,4.9,100
4,Multi-lateral bifurcated projection,Thriller,Scott Walton,2003-11-06,2092515,428853814,3.5,3958
5,Customer-focused multimedia alliance,Comedy,Kathleen Garcia,2009-01-21,156702954,718392242,1.7,766
6,Object-based interactive moderator,Thriller,Melissa Rodriguez,2011-09-01,101026937,317660431,1.7,1961
7,Total stable initiative,Horror,Tanya Harris,2018-12-05,19885866,938272825,2.4,1632
8,Progressive 3rdgeneration matrices,Sci-Fi,Steven Ford,2009-08-18,185379427,256548556,1.2,3405
9,Future-proofed needs-based functionalities,Drama,Shannon Howard,2000-11-28,70532988,262953831,3.0,647
10,Cross-platform demand-driven implementation,Romance,Theodore Beltran,2017-03-15,193338728,23340532,1.5,1578
11,Polarized needs-based secured line,Horror,Jeffrey Soto,2001-04-30,144744166,241022668,1.5,3358
12,Multi-lateral homogeneous firmware,Horror,Paul Johnston,2006-04-18,175587123,726684525,3.1,1278
13,Devolved value-added groupware,Romance,Jamie James,2000-12-05,85846348,649448091,4.5,2638
14,Expanded zero tolerance capacity,Thriller,John Miller,2005-11-08,91340955,204872456,3.3,2391
15,De-engineered regional structure,Horror,Erin Reid,2019-05-16,86982694,470080583,2.7,3166
16,Persistent holistic capacity,Drama,Elaine Clark,2016-04-27,90346390,500660007,1.4,1842
17,Distributed didactic process improvement,Fantasy,Stephanie Morgan,2003-11-30,104478886,263364652,1.2,1206
18,Seamless 24/7 capability,Romance,Dana Wright,2012-07-09,158916918,335140861,1.2,2024
19,Distributed discrete standardization,Comedy,Rebecca Dominguez,1999-03-27,21233735,281167239,3.1,1942
20,Organic homogeneous implementation,Romance,Elizabeth Mason,2021-05-26,51918174,665733660,4.9,4737
21,Synergistic coherent circuit,Action,Margaret Hanson,2017-10-22,168581992,25657129,4.0,3678
22,Front-line zero-defect artificial intelligence,Comedy,Todd White,2012-04-28,110068379,483061701,2.0,1416
23,Decentralized global archive,Fantasy,Henry Williams,2008-05-21,60826472,281072307,1.2,3437
24,Multi-channeled fault-tolerant benchmark,Sci-Fi,Emily Patel,2000-07-08,52989018,78450458,4.8,4877
